Fixed time simulation start ######################################
hazard_threshold_val;vol_cntr1_val;vol_cntr_pa_val;framework_pa_val;data_save_pa_val;time;shtdwn_counter;clk_counter;trace_rom_addr;
4230;98;1012;1094;932;100 us;12;2513;1250;
4240;98;1012;1094;932;100 us;12;2513;1250;
4250;98;1012;1094;932;100 us;12;2513;1250;
4260;98;1012;1094;932;100 us;12;2513;1250;
4270;93;968;1126;966;100 us;12;2513;1250;
4280;91;946;1142;983;100 us;12;2513;1250;
4290;90;935;1151;991;100 us;12;2513;1250;
4300;90;935;1151;991;100 us;12;2513;1250;
4310;89;924;1158;997;100 us;12;2513;1250;
4320;89;924;1158;997;100 us;12;2513;1250;
4330;89;924;1158;997;100 us;12;2513;1250;
4340;87;914;1165;1006;100 us;12;2513;1250;
4350;87;914;1165;1006;100 us;12;2513;1250;
4360;87;914;1165;1006;100 us;12;2513;1250;
4370;87;914;1165;1006;100 us;12;2513;1250;
4380;87;914;1165;1006;100 us;12;2513;1250;
4390;87;914;1165;1006;100 us;12;2513;1250;
4400;87;914;1165;1006;100 us;12;2513;1250;
4410;87;914;1165;1006;100 us;12;2513;1250;
4420;87;914;1165;1006;100 us;12;2513;1250;
4430;87;914;1165;1006;100 us;12;2513;1250;
4440;87;914;1165;1006;100 us;12;2513;1250;
4450;87;914;1165;1006;100 us;12;2513;1250;
4460;87;914;1165;1006;100 us;12;2513;1250;
4470;84;892;1181;1023;100 us;12;2513;1250;
4480;84;892;1181;1023;100 us;12;2513;1250;
4490;84;892;1181;1023;100 us;12;2513;1250;
4500;84;892;1181;1023;100 us;12;2513;1250;
4510;84;892;1181;1023;100 us;12;2513;1250;
4520;84;892;1181;1023;100 us;12;2513;1250;
4530;82;870;1197;1040;100 us;12;2513;1250;
4540;79;856;1208;1053;100 us;12;2513;1250;
4550;79;856;1208;1053;100 us;12;2513;1250;
4560;79;856;1208;1053;100 us;12;2513;1250;
4570;76;834;1224;1070;100 us;12;2513;1250;
4580;76;834;1224;1070;100 us;12;2513;1250;
4590;75;829;1226;1074;100 us;12;2513;1250;
4600;75;829;1226;1074;100 us;12;2513;1250;
4610;75;829;1226;1074;100 us;12;2513;1250;
4620;75;829;1226;1074;100 us;12;2513;1250;
4630;75;829;1226;1074;100 us;12;2513;1250;
4640;75;829;1226;1074;100 us;12;2513;1250;
4650;75;829;1226;1074;100 us;12;2513;1250;
4660;75;829;1226;1074;100 us;12;2513;1250;
4670;75;829;1226;1074;100 us;12;2513;1250;
4680;75;829;1226;1074;100 us;12;2513;1250;
4690;75;829;1226;1074;100 us;12;2513;1250;
4700;75;829;1226;1074;100 us;12;2513;1250;
4710;74;823;1229;1076;100 us;12;2513;1250;
4720;74;823;1229;1076;100 us;12;2513;1250;
4730;74;823;1229;1076;100 us;12;2513;1250;
4740;74;823;1229;1076;100 us;12;2513;1250;
4750;74;823;1229;1076;100 us;12;2513;1250;
4760;74;823;1229;1076;100 us;12;2513;1250;
4770;74;823;1229;1076;100 us;12;2513;1250;
4780;74;823;1229;1076;100 us;12;2513;1250;
4790;72;801;1245;1093;100 us;12;2513;1250;
4800;72;801;1245;1093;100 us;12;2513;1250;
4810;72;801;1245;1093;100 us;12;2513;1250;
4820;72;801;1245;1093;100 us;12;2513;1250;
4830;72;801;1245;1093;100 us;12;2513;1250;
4840;72;801;1245;1093;100 us;12;2513;1250;
4850;72;801;1245;1093;100 us;12;2513;1250;
4860;72;801;1245;1093;100 us;12;2513;1250;
4870;72;801;1245;1093;100 us;12;2513;1250;
4880;72;801;1245;1093;100 us;12;2513;1250;
4890;72;801;1245;1093;100 us;12;2513;1250;
4900;72;801;1245;1093;100 us;12;2513;1250;
4910;72;801;1245;1093;100 us;12;2513;1250;
4920;72;801;1245;1093;100 us;12;2513;1250;
4930;72;801;1245;1093;100 us;12;2513;1250;
4940;72;801;1245;1093;100 us;12;2513;1250;
4950;72;801;1245;1093;100 us;12;2513;1250;
4960;72;801;1245;1093;100 us;12;2513;1250;
4970;72;801;1245;1093;100 us;12;2513;1250;
4980;71;791;1252;1102;100 us;12;2513;1250;
4990;71;791;1252;1102;100 us;12;2513;1250;
5000;71;791;1252;1102;100 us;12;2513;1250;
5010;71;791;1252;1102;100 us;12;2513;1250;
Fixed time simulation end ########################################

Fixed value simulation start #####################################
hazard_threshold_val;vol_cntr1_val;vol_cntr_pa_val;framework_pa_val;data_save_pa_val;time;shtdwn_counter;clk_counter;trace_rom_addr;
3000;1000;9922;2013;899;566915 ns;71;12653;806;
3010;1000;9914;2151;1033;568625 ns;72;12816;828;
3020;1000;9914;2151;1033;568625 ns;72;12816;828;
3030;1000;8950;2118;1064;557395 ns;68;11813;687;
3040;1000;8950;2118;1064;557395 ns;68;11813;687;
3050;1000;8934;2182;1132;558115 ns;68;11885;696;
3060;1000;8948;2224;1166;559425 ns;69;11968;713;
3070;1000;8948;2224;1166;559425 ns;69;11968;713;
3080;1000;8952;2316;1278;560865 ns;69;12112;731;
3090;1000;9011;2435;1404;563835 ns;70;12353;768;
3100;1000;9011;2435;1404;563835 ns;70;12353;768;
3110;1000;9040;2585;1554;566195 ns;71;12581;797;
3120;1000;9040;2585;1554;566195 ns;71;12581;797;
3130;1000;9040;2585;1554;566195 ns;71;12581;797;
3140;1000;9064;2713;1673;568265 ns;72;12780;823;
3150;1000;9064;2713;1673;568265 ns;72;12780;823;
3160;1000;9054;2758;1728;568715 ns;72;12825;829;
3170;1000;9018;2758;1728;568355 ns;72;12789;824;
3180;1000;8988;2803;1778;568805 ns;72;12834;830;
3190;1000;8988;2803;1778;568805 ns;72;12834;830;
3200;1000;8988;2803;1778;568805 ns;72;12834;830;
3210;1000;8963;2813;1783;568805 ns;72;12834;830;
3220;1000;8999;2813;1783;569165 ns;72;12870;834;
3230;1000;8999;2813;1783;569165 ns;72;12870;834;
3240;1000;9028;2980;1911;592285 ns;75;13126;1123;
3250;1000;9003;3113;2052;593935 ns;75;13291;1144;
3260;1000;9003;3113;2052;593935 ns;75;13291;1144;
